Study ID	Sample ID	Patient ID	Altered	AKR1C3	AKR1C3: MUT	AKR1C3: FUSION	AKR1C3: AMP	AKR1C3: HOMDEL
brca_metabric	MB-0238	MB-0238	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0239	MB-0239	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0241	MB-0241	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0242	MB-0242	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0243	MB-0243	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0244	MB-0244	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0245	MB-0245	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0247	MB-0247	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0248	MB-0248	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0253	MB-0253	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0256	MB-0256	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0257	MB-0257	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0258	MB-0258	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0260	MB-0260	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0261	MB-0261	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0262	MB-0262	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0263	MB-0263	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0264	MB-0264	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0265	MB-0265	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0266	MB-0266	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0268	MB-0268	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0269	MB-0269	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0270	MB-0270	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0272	MB-0272	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0273	MB-0273	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0275	MB-0275	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0279	MB-0279	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0280	MB-0280	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0282	MB-0282	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0284	MB-0284	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0285	MB-0285	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0286	MB-0286	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0287	MB-0287	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0288	MB-0288	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0289	MB-0289	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0290	MB-0290	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0291	MB-0291	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0292	MB-0292	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0293	MB-0293	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0294	MB-0294	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0295	MB-0295	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0301	MB-0301	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0302	MB-0302	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0303	MB-0303	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0304	MB-0304	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0305	MB-0305	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0306	MB-0306	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0307	MB-0307	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0308	MB-0308	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0309	MB-0309	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0310	MB-0310	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0311	MB-0311	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0312	MB-0312	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0313	MB-0313	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0314	MB-0314	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0315	MB-0315	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0316	MB-0316	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0317	MB-0317	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0318	MB-0318	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0319	MB-0319	0	no alteration	not profiled	not profiled	no alteration	no alteration
