STUDY_ID	SAMPLE_ID	CEACAM5
brca_metabric	MB-2753	5.558705475
brca_metabric	MB-2754	6.871760744
brca_metabric	MB-2758	5.44510917
brca_metabric	MB-2760	5.832069332
brca_metabric	MB-2763	5.318101479
brca_metabric	MB-2764	5.117240111
brca_metabric	MB-2765	5.17001257
brca_metabric	MB-2767	5.621047074
brca_metabric	MB-2769	5.429830273
brca_metabric	MB-2770	8.205037054
brca_metabric	MB-2771	5.306944019
brca_metabric	MB-2772	5.512343671
brca_metabric	MB-2774	5.479353223
brca_metabric	MB-2778	5.564990451
brca_metabric	MB-2779	6.087602762
brca_metabric	MB-2781	5.54754583
brca_metabric	MB-2786	6.169397873
brca_metabric	MB-2790	5.537243769
brca_metabric	MB-2791	5.308985528
brca_metabric	MB-2792	5.64754766
brca_metabric	MB-2793	8.046202554
brca_metabric	MB-2795	5.568660634
brca_metabric	MB-2796	5.750375381
brca_metabric	MB-2797	5.406646368
brca_metabric	MB-2801	5.308048032
brca_metabric	MB-2803	6.961061631
brca_metabric	MB-2814	5.79939172
brca_metabric	MB-2815	5.645454076
brca_metabric	MB-2819	5.455998206
brca_metabric	MB-2820	5.515264474
brca_metabric	MB-2821	5.435069869
brca_metabric	MB-2823	5.594315884
brca_metabric	MB-2827	5.557127775
brca_metabric	MB-2833	5.664724666
brca_metabric	MB-2834	5.891353155
brca_metabric	MB-2835	5.70915197
brca_metabric	MB-2838	5.320279514
brca_metabric	MB-2840	5.486660429
brca_metabric	MB-2842	6.131655236
brca_metabric	MB-2843	6.202242784
brca_metabric	MB-2844	5.450371761
brca_metabric	MB-2845	5.502461181
brca_metabric	MB-2846	7.058366491
brca_metabric	MB-2847	9.742317783
brca_metabric	MB-2848	6.310375351
brca_metabric	MB-2849	5.820793903
brca_metabric	MB-2850	4.987998817
brca_metabric	MB-2851	5.383133877
brca_metabric	MB-2853	6.17356522
brca_metabric	MB-2854	5.419707949
brca_metabric	MB-2857	5.305971371
brca_metabric	MB-2858	9.024045668
brca_metabric	MB-2863	5.486323401
brca_metabric	MB-2867	5.337894259
brca_metabric	MB-2895	5.333670142
brca_metabric	MB-2896	5.352156006
brca_metabric	MB-2900	5.382708471
brca_metabric	MB-2901	6.698469819
brca_metabric	MB-2904	5.273983616
brca_metabric	MB-2912	5.436440468
brca_metabric	MB-2916	5.356241888
brca_metabric	MB-2917	5.488187857
brca_metabric	MB-2919	5.587440028
brca_metabric	MB-2922	5.596027212
brca_metabric	MB-2923	6.826062646
brca_metabric	MB-2927	5.567615455
brca_metabric	MB-2929	5.74566043
brca_metabric	MB-2931	5.540766158
brca_metabric	MB-2932	5.36844122
brca_metabric	MB-2933	5.470352771
brca_metabric	MB-2939	7.40489968
brca_metabric	MB-2944	5.736293682
brca_metabric	MB-2947	6.33986495
brca_metabric	MB-2951	6.159221074
brca_metabric	MB-2952	5.631382096
brca_metabric	MB-2953	5.435268319
brca_metabric	MB-2954	8.754429159
brca_metabric	MB-2957	5.479977309
brca_metabric	MB-2960	5.566441088
brca_metabric	MB-2963	5.196097586
brca_metabric	MB-2964	6.135391049
brca_metabric	MB-2966	5.409493853
brca_metabric	MB-2969	5.14812935
brca_metabric	MB-2970	5.265272531
brca_metabric	MB-2971	5.308187819
brca_metabric	MB-2977	5.401415864
brca_metabric	MB-2983	5.477645036
brca_metabric	MB-2984	5.812742201
brca_metabric	MB-2990	5.538191961
brca_metabric	MB-2993	5.703489693
brca_metabric	MB-2994	5.499070559
brca_metabric	MB-2996	5.961685035
brca_metabric	MB-2999	5.335894006
brca_metabric	MB-3001	5.401262929
brca_metabric	MB-3002	5.657925165
brca_metabric	MB-3005	5.569242701
brca_metabric	MB-3006	5.366151623
brca_metabric	MB-3007	5.599021402
brca_metabric	MB-3008	6.484924464
brca_metabric	MB-3013	5.549174262
brca_metabric	MB-3014	5.260734849
brca_metabric	MB-3016	7.330650155
brca_metabric	MB-3021	6.112964947
brca_metabric	MB-3025	6.17356522
brca_metabric	MB-3026	5.365957463
