STUDY_ID	SAMPLE_ID	TMEM70
brca_metabric	MB-3528	-0.2462
brca_metabric	MB-3530	-0.392
brca_metabric	MB-3536	-1.3586
brca_metabric	MB-3545	-0.7816
brca_metabric	MB-3548	0.3571
brca_metabric	MB-3556	-0.1912
brca_metabric	MB-3567	-0.4329
brca_metabric	MB-3576	0.4237
brca_metabric	MB-3582	-0.9785
brca_metabric	MB-3600	1.9939
brca_metabric	MB-3606	0.4742
brca_metabric	MB-3614	-0.2535
brca_metabric	MB-3702	-0.2377
brca_metabric	MB-3706	0.6891
brca_metabric	MB-3707	-1.6713
brca_metabric	MB-3711	-2.2753
brca_metabric	MB-3748	-0.8012
