STUDY_ID	SAMPLE_ID	TMEM70
brca_metabric	MB-3058	6.906121754
brca_metabric	MB-3060	6.606118769
brca_metabric	MB-3062	6.132664318
brca_metabric	MB-3063	7.123612812
brca_metabric	MB-3064	6.527299298
brca_metabric	MB-3067	7.40881298
brca_metabric	MB-3079	6.31596292
brca_metabric	MB-3083	6.828805841
brca_metabric	MB-3085	6.841570585
brca_metabric	MB-3088	6.760755153
brca_metabric	MB-3092	7.8157106
brca_metabric	MB-3102	7.162160021
brca_metabric	MB-3103	6.582622333
brca_metabric	MB-3104	6.387136269
brca_metabric	MB-3105	6.571454814
brca_metabric	MB-3110	6.577063847
brca_metabric	MB-3121	6.831737666
brca_metabric	MB-3122	6.735359634
brca_metabric	MB-3123	6.942547313
brca_metabric	MB-3153	6.815007366
brca_metabric	MB-3165	6.313521277
brca_metabric	MB-3167	7.124459925
brca_metabric	MB-3171	6.534539862
brca_metabric	MB-3181	6.053164355
brca_metabric	MB-3211	6.266084994
brca_metabric	MB-3218	6.888091206
brca_metabric	MB-3222	6.986680177
brca_metabric	MB-3228	7.032655442
brca_metabric	MB-3235	6.641649622
brca_metabric	MB-3252	6.321879423
brca_metabric	MB-3253	7.711075976
brca_metabric	MB-3254	6.82624168
brca_metabric	MB-3266	6.304317706
brca_metabric	MB-3271	6.311360141
brca_metabric	MB-3272	6.433267652
brca_metabric	MB-3275	5.999956081
brca_metabric	MB-3277	6.571811729
brca_metabric	MB-3292	6.363907221
brca_metabric	MB-3295	6.401429271
brca_metabric	MB-3297	7.576612076
brca_metabric	MB-3298	6.696878273
brca_metabric	MB-3300	7.366678061
brca_metabric	MB-3301	6.525926857
brca_metabric	MB-3303	6.972048113
brca_metabric	MB-3328	7.116066474
brca_metabric	MB-3329	6.452349885
brca_metabric	MB-3341	6.578734167
brca_metabric	MB-3344	6.206348658
brca_metabric	MB-3350	6.139611826
brca_metabric	MB-3351	6.316329825
brca_metabric	MB-3355	6.436489512
brca_metabric	MB-3357	6.013549041
brca_metabric	MB-3360	6.461700499
brca_metabric	MB-3361	6.229237104
brca_metabric	MB-3363	6.618515788
brca_metabric	MB-3365	6.746166385
brca_metabric	MB-3367	6.726218834
brca_metabric	MB-3371	6.526401564
brca_metabric	MB-3378	6.332742354
brca_metabric	MB-3379	6.689369879
brca_metabric	MB-3381	6.489446279
brca_metabric	MB-3382	6.794695608
brca_metabric	MB-3383	6.740933939
brca_metabric	MB-3386	6.836200456
brca_metabric	MB-3388	7.737180615
brca_metabric	MB-3389	8.151928738
brca_metabric	MB-3395	6.956804629
brca_metabric	MB-3396	6.279771221
brca_metabric	MB-3402	6.616078087
brca_metabric	MB-3403	6.231455149
brca_metabric	MB-3412	6.502473377
brca_metabric	MB-3417	6.643626187
brca_metabric	MB-3429	6.762103529
brca_metabric	MB-3430	6.943908645
brca_metabric	MB-3435	7.028674188
brca_metabric	MB-3436	6.882301258
brca_metabric	MB-3437	6.474723347
brca_metabric	MB-3439	6.301503694
brca_metabric	MB-3450	5.952144144
brca_metabric	MB-3452	6.845319494
