STUDY_ID	SAMPLE_ID	ANGPTL4
brca_metabric	MB-2718	-0.7449
brca_metabric	MB-2721	-0.343
brca_metabric	MB-2724	-0.0684
brca_metabric	MB-2725	1.4072
brca_metabric	MB-2728	-0.6682
brca_metabric	MB-2730	-1.3634
brca_metabric	MB-2735	-0.9298
brca_metabric	MB-2742	2.7001
brca_metabric	MB-2744	0.7061
brca_metabric	MB-2745	-0.3591
brca_metabric	MB-2747	0.0535
brca_metabric	MB-2749	0.8421
brca_metabric	MB-2750	0.0536
brca_metabric	MB-2752	-0.2001
brca_metabric	MB-2753	2.0386
brca_metabric	MB-2754	-0.3995
brca_metabric	MB-2758	0.451
brca_metabric	MB-2760	0.8731
brca_metabric	MB-2763	-0.1185
brca_metabric	MB-2764	1.4663
brca_metabric	MB-2765	1.1218
brca_metabric	MB-2767	-0.5569
brca_metabric	MB-2769	-0.8291
brca_metabric	MB-2770	-0.5921
brca_metabric	MB-2771	0.6928
brca_metabric	MB-2772	-0.1536
brca_metabric	MB-2774	0.1988
brca_metabric	MB-2778	-0.25
brca_metabric	MB-2779	-0.8979
brca_metabric	MB-2781	1.5075
brca_metabric	MB-2786	0.607
brca_metabric	MB-2790	-0.8844
brca_metabric	MB-2791	0.4226
brca_metabric	MB-2792	-0.6024
brca_metabric	MB-2793	-1.6877
brca_metabric	MB-2795	-0.3455
brca_metabric	MB-2796	2.1484
brca_metabric	MB-2797	-0.8597
brca_metabric	MB-2801	0.3201
brca_metabric	MB-2803	0.1821
brca_metabric	MB-2814	0.0446
brca_metabric	MB-2815	0.8695
brca_metabric	MB-2819	-0.0028
brca_metabric	MB-2820	0.7721
brca_metabric	MB-2821	0.8305
brca_metabric	MB-2823	1.4654
brca_metabric	MB-2827	0.3313
brca_metabric	MB-2833	1.5832
brca_metabric	MB-2834	-1.4662
brca_metabric	MB-2835	0.294
brca_metabric	MB-2838	0.0005
brca_metabric	MB-2840	-0.3458
brca_metabric	MB-2842	1.0076
brca_metabric	MB-2843	0.5211
brca_metabric	MB-2844	0.3692
brca_metabric	MB-2845	1.4993
brca_metabric	MB-2846	0.1355
brca_metabric	MB-2847	-0.4335
brca_metabric	MB-2848	-0.0685
brca_metabric	MB-2849	2.6739
brca_metabric	MB-2850	1.196
brca_metabric	MB-2851	0.5933
brca_metabric	MB-2853	-0.3359
brca_metabric	MB-2854	-0.3494
brca_metabric	MB-2857	-0.7014
brca_metabric	MB-2858	-1.1157
brca_metabric	MB-2863	-0.8648
brca_metabric	MB-2867	0.0832
brca_metabric	MB-2895	-0.2225
brca_metabric	MB-2896	0.7032
brca_metabric	MB-2900	1.3264
brca_metabric	MB-2901	-1.0037
brca_metabric	MB-2904	-0.6753
brca_metabric	MB-2912	-0.8613
brca_metabric	MB-2916	0.1082
brca_metabric	MB-2917	0.9125
brca_metabric	MB-2919	-0.3678
brca_metabric	MB-2922	1.3741
brca_metabric	MB-2923	-0.543
brca_metabric	MB-2927	-0.8058
brca_metabric	MB-2929	0.6392
brca_metabric	MB-2931	0.3327
brca_metabric	MB-2932	-0.9455
brca_metabric	MB-2933	-0.252
brca_metabric	MB-2939	1.0036
brca_metabric	MB-2944	-0.1322
brca_metabric	MB-2947	0.2242
brca_metabric	MB-2951	0.0597
brca_metabric	MB-2952	-0.3802
brca_metabric	MB-2953	-0.6806
