STUDY_ID	SAMPLE_ID	SGCG
brca_metabric	MB-0526	-0.1019
brca_metabric	MB-0527	0.6373
brca_metabric	MB-0528	-0.3681
brca_metabric	MB-0529	3.3404
brca_metabric	MB-0531	-0.094
brca_metabric	MB-0532	0.0994
brca_metabric	MB-0534	0.745
brca_metabric	MB-0535	-0.3544
brca_metabric	MB-0536	0.0102
brca_metabric	MB-0537	0.557
brca_metabric	MB-0538	0.0258
brca_metabric	MB-0540	-0.2971
brca_metabric	MB-0541	-0.1542
brca_metabric	MB-0542	0.1073
brca_metabric	MB-0544	-1.1479
brca_metabric	MB-0545	1.6455
brca_metabric	MB-0550	0.0415
brca_metabric	MB-0551	-0.1719
brca_metabric	MB-0552	-0.5987
brca_metabric	MB-0553	0.0675
brca_metabric	MB-0554	-0.7886
brca_metabric	MB-0558	-1.0068
brca_metabric	MB-0559	-0.5843
brca_metabric	MB-0568	-1.537
brca_metabric	MB-0569	-0.0887
brca_metabric	MB-0570	-0.8731
brca_metabric	MB-0571	-0.5002
brca_metabric	MB-0573	-0.0128
brca_metabric	MB-0574	-0.4247
brca_metabric	MB-0575	-0.1913
brca_metabric	MB-0576	-0.4467
brca_metabric	MB-0577	0.5223
brca_metabric	MB-0578	0.2262
brca_metabric	MB-0579	-0.5516
brca_metabric	MB-0580	0.0392
brca_metabric	MB-0581	-0.1593
brca_metabric	MB-0582	0.0204
brca_metabric	MB-0583	-0.0933
brca_metabric	MB-0584	0.7247
brca_metabric	MB-0585	-0.1726
brca_metabric	MB-0586	-0.0508
brca_metabric	MB-0587	-0.0764
brca_metabric	MB-0588	-0.2803
brca_metabric	MB-0589	-0.1081
brca_metabric	MB-0590	-0.3186
brca_metabric	MB-0591	-0.9446
brca_metabric	MB-0593	-0.9891
brca_metabric	MB-0594	0.077
brca_metabric	MB-0596	-0.2142
brca_metabric	MB-0597	-0.0805
brca_metabric	MB-0598	-0.6875
brca_metabric	MB-0599	-0.3462
brca_metabric	MB-0600	-0.6517
brca_metabric	MB-0601	-1.0293
brca_metabric	MB-0603	0.109
brca_metabric	MB-0605	2.2782
brca_metabric	MB-0606	-0.0178
brca_metabric	MB-0607	-0.7535
brca_metabric	MB-0608	-0.1947
brca_metabric	MB-0609	-0.3
brca_metabric	MB-0610	-0.0736
brca_metabric	MB-0611	-0.2426
brca_metabric	MB-0613	0.0254
brca_metabric	MB-0614	-0.2499
brca_metabric	MB-0615	-0.0589
brca_metabric	MB-0616	-0.038
brca_metabric	MB-0617	-0.0853
brca_metabric	MB-0618	0.0884
brca_metabric	MB-0619	0.9259
brca_metabric	MB-0620	-0.0412
brca_metabric	MB-0621	-0.6264
brca_metabric	MB-0623	-0.5029
brca_metabric	MB-0624	-0.3313
brca_metabric	MB-0626	4.7509
brca_metabric	MB-0627	-0.0648
brca_metabric	MB-0628	-0.8078
brca_metabric	MB-0630	-0.2198
brca_metabric	MB-0631	-0.6861
brca_metabric	MB-0632	-0.1446
brca_metabric	MB-0634	-0.5876
brca_metabric	MB-0636	0.1906
brca_metabric	MB-0637	-0.1648
brca_metabric	MB-0638	0.2045
brca_metabric	MB-0639	0.1397
brca_metabric	MB-0640	0.1195
brca_metabric	MB-0641	1.8398
brca_metabric	MB-0642	-0.824
brca_metabric	MB-0643	-1.0033
brca_metabric	MB-0644	0.2402
brca_metabric	MB-0646	0.0882
brca_metabric	MB-0649	0.0218
brca_metabric	MB-0650	-0.0616
brca_metabric	MB-0652	0.2139
brca_metabric	MB-0653	-0.3621
brca_metabric	MB-0654	0.1365
brca_metabric	MB-0655	0.076
brca_metabric	MB-0656	-0.2346
brca_metabric	MB-0657	0.7086
brca_metabric	MB-0658	-0.0986
brca_metabric	MB-0659	-0.5613
brca_metabric	MB-0660	-0.1777
brca_metabric	MB-0661	-0.501
brca_metabric	MB-0662	-0.5172
brca_metabric	MB-0663	-0.7302
brca_metabric	MB-0664	0.1554
brca_metabric	MB-0666	-0.3538
brca_metabric	MB-0869	-0.5878
brca_metabric	MB-0872	-0.2528
brca_metabric	MB-0874	-0.3305
brca_metabric	MB-0877	-0.0757
brca_metabric	MB-0880	-0.5132
brca_metabric	MB-0882	-0.7435
