STUDY_ID	SAMPLE_ID	FN1
brca_metabric	MB-0620	5.403435826
brca_metabric	MB-0621	5.802118759
brca_metabric	MB-0623	6.867420282
brca_metabric	MB-0624	5.536890551
brca_metabric	MB-0626	6.252114629
brca_metabric	MB-0627	6.210103298
brca_metabric	MB-0628	6.864978675
brca_metabric	MB-0630	6.121643323
brca_metabric	MB-0631	5.783478424
brca_metabric	MB-0632	7.036554612
brca_metabric	MB-0634	5.465601051
brca_metabric	MB-0636	7.154517184
brca_metabric	MB-0637	5.752925322
brca_metabric	MB-0638	5.777302459
brca_metabric	MB-0639	6.864704164
brca_metabric	MB-0640	5.847586288
brca_metabric	MB-0641	6.225861372
brca_metabric	MB-0642	6.179033603
brca_metabric	MB-0643	6.687872565
brca_metabric	MB-0644	6.384132052
brca_metabric	MB-0646	5.699690193
brca_metabric	MB-0649	6.805960295
brca_metabric	MB-0650	5.828029431
brca_metabric	MB-0652	7.936408683
brca_metabric	MB-0653	6.49979003
brca_metabric	MB-0654	6.006395189
brca_metabric	MB-0655	5.858828112
brca_metabric	MB-0656	5.828184854
brca_metabric	MB-0657	5.934285116
brca_metabric	MB-0658	6.10945702
brca_metabric	MB-0659	5.664640251
brca_metabric	MB-0660	6.757305179
brca_metabric	MB-0661	5.538146037
brca_metabric	MB-0662	7.721662884
brca_metabric	MB-0663	6.059566505
brca_metabric	MB-0664	5.842978414
brca_metabric	MB-0666	6.849773586
brca_metabric	MB-0869	6.298902988
brca_metabric	MB-0872	5.619650659
brca_metabric	MB-0874	5.65646089
brca_metabric	MB-0877	6.143653058
brca_metabric	MB-0880	5.842685143
brca_metabric	MB-0882	6.483821643
brca_metabric	MB-0884	5.366734573
brca_metabric	MB-0891	5.977391737
brca_metabric	MB-0893	6.424804489
brca_metabric	MB-0895	6.093546976
brca_metabric	MB-0897	5.753094673
brca_metabric	MB-0899	5.826194419
brca_metabric	MB-0901	6.22443595
brca_metabric	MB-0904	6.328168958
brca_metabric	MB-0906	6.281079966
brca_metabric	MB-2513	5.993968521
brca_metabric	MB-2517	5.8333069
brca_metabric	MB-2536	6.128724379
brca_metabric	MB-2556	5.601101246
brca_metabric	MB-2564	6.019900767
brca_metabric	MB-2610	5.616657484
brca_metabric	MB-2613	6.098283575
brca_metabric	MB-2614	5.714532071
brca_metabric	MB-2616	6.116300965
brca_metabric	MB-2617	6.483274496
brca_metabric	MB-2618	5.657746202
brca_metabric	MB-2624	5.755148576
brca_metabric	MB-2626	6.021065274
brca_metabric	MB-2629	5.691568286
brca_metabric	MB-2632	5.738541546
brca_metabric	MB-2634	5.726214991
brca_metabric	MB-2642	6.659630191
brca_metabric	MB-2643	6.376539776
brca_metabric	MB-2645	5.668939642
brca_metabric	MB-2669	7.12308975
brca_metabric	MB-2686	6.019631613
brca_metabric	MB-2705	6.194384533
brca_metabric	MB-2708	6.43556071
brca_metabric	MB-2711	6.127886684
brca_metabric	MB-2712	5.8897372
brca_metabric	MB-2718	5.807857593
brca_metabric	MB-2721	5.72131447
brca_metabric	MB-2724	5.398065012
brca_metabric	MB-2725	5.27322925
brca_metabric	MB-2728	6.121434133
brca_metabric	MB-2730	5.661881889
brca_metabric	MB-2735	6.566514254
brca_metabric	MB-2742	6.387033527
brca_metabric	MB-2744	5.610146912
brca_metabric	MB-2745	5.540636377
brca_metabric	MB-2747	6.675527785
brca_metabric	MB-2749	6.267069371
brca_metabric	MB-2750	5.86080784
brca_metabric	MB-2752	5.679223044
brca_metabric	MB-2753	6.020549521
brca_metabric	MB-2754	5.904349628
brca_metabric	MB-2758	5.952030257
brca_metabric	MB-2760	6.023042952
brca_metabric	MB-2763	5.900780432
brca_metabric	MB-2764	6.082111325
brca_metabric	MB-2765	5.869616357
brca_metabric	MB-2767	6.815346917
brca_metabric	MB-2769	5.693103763
brca_metabric	MB-2770	5.602247093
brca_metabric	MB-2771	6.163772246
brca_metabric	MB-2772	6.424092128
brca_metabric	MB-2774	6.590741864
brca_metabric	MB-2778	6.733506925
brca_metabric	MB-2779	5.500343984
brca_metabric	MB-2781	6.22393963
brca_metabric	MB-2786	6.087986845
brca_metabric	MB-2790	6.197664001
brca_metabric	MB-2791	5.840009079
brca_metabric	MB-2792	6.077836759
brca_metabric	MB-2793	5.960694043
brca_metabric	MB-2795	5.874094587
brca_metabric	MB-2796	5.831635026
brca_metabric	MB-2797	5.801695601
brca_metabric	MB-2801	5.653248264
brca_metabric	MB-2803	5.869400804
brca_metabric	MB-2814	6.000656195
brca_metabric	MB-2815	5.456898847
brca_metabric	MB-2819	5.895135014
brca_metabric	MB-2820	5.749049885
brca_metabric	MB-2821	7.093597009
brca_metabric	MB-2823	5.486382984
brca_metabric	MB-2827	5.807613006
brca_metabric	MB-2833	5.331959681
brca_metabric	MB-2834	5.909989118
brca_metabric	MB-2835	6.107934595
brca_metabric	MB-2838	5.463784521
brca_metabric	MB-2840	5.333557337
brca_metabric	MB-2842	6.103467326
brca_metabric	MB-2843	5.868002927
brca_metabric	MB-2844	6.641193306
brca_metabric	MB-2845	5.37791251
brca_metabric	MB-2846	5.543154144
brca_metabric	MB-2847	5.986297004
brca_metabric	MB-2848	6.874002545
brca_metabric	MB-2849	5.473536806
brca_metabric	MB-2850	5.649915617
brca_metabric	MB-2851	6.56835619
brca_metabric	MB-2853	5.647170063
brca_metabric	MB-2854	5.416804649
brca_metabric	MB-2857	5.774583176
brca_metabric	MB-2858	6.085684605
brca_metabric	MB-2863	6.076413541
brca_metabric	MB-2867	5.810135742
brca_metabric	MB-2895	6.019717185
brca_metabric	MB-2896	6.25766415
brca_metabric	MB-2900	5.479980868
brca_metabric	MB-2901	5.494879869
brca_metabric	MB-2904	5.373169966
brca_metabric	MB-2912	5.867652905
brca_metabric	MB-2916	6.322699084
brca_metabric	MB-2917	5.645939245
brca_metabric	MB-2919	6.425191628
brca_metabric	MB-2922	6.537296272
brca_metabric	MB-2923	5.841756004
brca_metabric	MB-2927	5.608631745
brca_metabric	MB-2929	6.084029828
brca_metabric	MB-2931	6.721039736
brca_metabric	MB-2932	5.413618964
brca_metabric	MB-2933	6.044066587
brca_metabric	MB-2939	6.542170481
brca_metabric	MB-2944	6.259370804
brca_metabric	MB-2947	5.309128055
brca_metabric	MB-2951	5.62674202
brca_metabric	MB-2952	5.622687476
brca_metabric	MB-2953	6.098427771
brca_metabric	MB-2954	5.912484735
brca_metabric	MB-2957	5.936186346
brca_metabric	MB-2960	5.982168759
brca_metabric	MB-2963	6.753175064
brca_metabric	MB-2964	5.911679149
brca_metabric	MB-2966	6.04235117
brca_metabric	MB-2969	6.090423728
brca_metabric	MB-2970	5.778656206
brca_metabric	MB-2971	5.897680452
brca_metabric	MB-2977	6.082884203
brca_metabric	MB-2983	6.996435122
brca_metabric	MB-2984	6.019210668
brca_metabric	MB-2990	5.60340006
brca_metabric	MB-2993	6.129547681
brca_metabric	MB-2994	5.703049119
brca_metabric	MB-2996	5.904923389
brca_metabric	MB-2999	5.543055163
brca_metabric	MB-3001	5.621703014
brca_metabric	MB-3002	6.188792971
brca_metabric	MB-3005	6.154348403
brca_metabric	MB-3006	5.961300655
brca_metabric	MB-3007	6.087189055
brca_metabric	MB-3008	6.004873518
brca_metabric	MB-3013	6.045286861
brca_metabric	MB-3014	6.02196949
brca_metabric	MB-3016	6.187821405
brca_metabric	MB-3021	5.948776977
brca_metabric	MB-3025	5.841086042
brca_metabric	MB-3026	5.995622287
brca_metabric	MB-3028	5.594752081
brca_metabric	MB-3031	5.959252754
brca_metabric	MB-3032	6.19232096
brca_metabric	MB-3033	5.634230756
brca_metabric	MB-3035	5.777798075
brca_metabric	MB-3037	5.971569007
brca_metabric	MB-3046	6.182900396
brca_metabric	MB-3049	5.350110101
brca_metabric	MB-3050	5.738284529
brca_metabric	MB-3057	5.762829629
brca_metabric	MB-3058	6.497269183
brca_metabric	MB-3060	6.644399501
brca_metabric	MB-3062	6.333592656
brca_metabric	MB-3063	6.563413803
brca_metabric	MB-3064	6.279931523
brca_metabric	MB-3067	5.809886763
brca_metabric	MB-3079	6.320021206
brca_metabric	MB-3083	5.505735924
brca_metabric	MB-3085	5.691075865
brca_metabric	MB-3088	5.678823232
brca_metabric	MB-3092	5.484359474
brca_metabric	MB-3102	5.594094388
brca_metabric	MB-3103	6.441774347
brca_metabric	MB-3104	5.460880402
brca_metabric	MB-3105	6.775844936
brca_metabric	MB-3110	5.852432642
brca_metabric	MB-3121	5.534972946
brca_metabric	MB-3122	6.223778952
brca_metabric	MB-3123	6.21184896
brca_metabric	MB-3153	5.884648563
brca_metabric	MB-3165	6.729963477
brca_metabric	MB-3167	5.926004307
brca_metabric	MB-3171	5.836081432
brca_metabric	MB-3181	6.347263627
brca_metabric	MB-3211	6.123409351
brca_metabric	MB-3218	5.906700266
brca_metabric	MB-3222	6.976245362
brca_metabric	MB-3228	6.173269114
brca_metabric	MB-3235	5.935747896
brca_metabric	MB-3252	5.535441225
brca_metabric	MB-3253	6.310896948
brca_metabric	MB-3254	6.300967039
brca_metabric	MB-3266	6.858500802
brca_metabric	MB-3271	6.223225261
brca_metabric	MB-3272	6.209639985
brca_metabric	MB-3275	6.827543614
brca_metabric	MB-3277	6.494462932
brca_metabric	MB-3292	5.820976562
brca_metabric	MB-3295	5.665525646
brca_metabric	MB-3297	5.745310849
brca_metabric	MB-3298	5.976854089
brca_metabric	MB-3300	6.220953306
brca_metabric	MB-3301	5.987791385
brca_metabric	MB-3303	6.204408729
brca_metabric	MB-3328	6.421395067
brca_metabric	MB-3329	6.057181577
brca_metabric	MB-3341	5.864661646
brca_metabric	MB-3344	5.710762092
brca_metabric	MB-3350	5.405078695
brca_metabric	MB-3351	6.372221087
brca_metabric	MB-3355	6.325166055
brca_metabric	MB-3357	6.518677592
brca_metabric	MB-3360	6.216732231
brca_metabric	MB-3361	6.481661171
brca_metabric	MB-3363	5.736905379
brca_metabric	MB-3365	5.63395094
brca_metabric	MB-3367	5.771715138
brca_metabric	MB-3371	6.102118275
brca_metabric	MB-3378	5.949550383
brca_metabric	MB-3379	6.590837488
brca_metabric	MB-3381	6.080764288
brca_metabric	MB-3382	6.595410135
brca_metabric	MB-3383	6.176415872
brca_metabric	MB-3386	5.864090741
brca_metabric	MB-3388	5.819491223
brca_metabric	MB-3389	5.338589501
brca_metabric	MB-3395	5.534105442
brca_metabric	MB-3396	6.55803915
brca_metabric	MB-3402	5.873619271
brca_metabric	MB-3403	6.276860765
brca_metabric	MB-3412	6.301558616
brca_metabric	MB-3417	5.671977974
brca_metabric	MB-3429	5.683503855
brca_metabric	MB-3430	5.841811313
brca_metabric	MB-3435	6.032367664
brca_metabric	MB-3436	5.265104965
brca_metabric	MB-3437	5.613949485
brca_metabric	MB-3439	6.010721239
brca_metabric	MB-3450	6.173095778
brca_metabric	MB-3452	6.566411244
brca_metabric	MB-3453	6.688048144
brca_metabric	MB-3459	6.07659887
brca_metabric	MB-3462	5.618502341
brca_metabric	MB-3466	6.46138542
brca_metabric	MB-3467	6.092990069
brca_metabric	MB-3470	6.096888242
brca_metabric	MB-3476	5.6277064
brca_metabric	MB-3479	5.652614607
brca_metabric	MB-3487	5.809283654
brca_metabric	MB-3488	5.672242118
brca_metabric	MB-3490	6.080755845
brca_metabric	MB-3492	6.064171739
brca_metabric	MB-3497	6.488338966
brca_metabric	MB-3500	5.631773702
brca_metabric	MB-3502	5.955694213
brca_metabric	MB-3506	6.010536804
