STUDY_ID	SAMPLE_ID	ANGPT2
brca_metabric	MB-3450	6.69562946
brca_metabric	MB-3452	7.824139318
brca_metabric	MB-3453	7.255984629
brca_metabric	MB-3459	6.664378884
brca_metabric	MB-3462	7.035519766
brca_metabric	MB-3466	7.353049635
brca_metabric	MB-3467	9.144303144
brca_metabric	MB-3470	8.150715786
brca_metabric	MB-3476	6.363163948
brca_metabric	MB-3479	7.673062343
brca_metabric	MB-3487	6.121410359
brca_metabric	MB-3488	6.921071727
brca_metabric	MB-3490	6.737351711
brca_metabric	MB-3492	6.902365367
brca_metabric	MB-3497	7.364311053
brca_metabric	MB-3500	6.791708142
brca_metabric	MB-3502	7.457751446
