STUDY_ID	SAMPLE_ID	RASGRF1
brca_metabric	MB-0906	5.9285465
brca_metabric	MB-2513	5.304259209
brca_metabric	MB-2517	5.587169256
brca_metabric	MB-2536	5.396098528
brca_metabric	MB-2556	5.339784095
brca_metabric	MB-2564	5.37582903
brca_metabric	MB-2610	5.278308941
brca_metabric	MB-2613	5.337448352
brca_metabric	MB-2614	5.167702187
brca_metabric	MB-2616	5.342199639
brca_metabric	MB-2617	5.313437781
brca_metabric	MB-2618	5.278722633
brca_metabric	MB-2624	5.110089942
brca_metabric	MB-2626	5.462976973
brca_metabric	MB-2629	5.268572291
brca_metabric	MB-2632	5.244901463
brca_metabric	MB-2634	5.29836466
brca_metabric	MB-2642	5.39832563
brca_metabric	MB-2643	5.38959401
brca_metabric	MB-2645	5.349503022
brca_metabric	MB-2669	5.165741141
brca_metabric	MB-2686	5.379511985
brca_metabric	MB-2705	5.346687012
brca_metabric	MB-2708	5.295020292
brca_metabric	MB-2711	5.343217245
brca_metabric	MB-2712	5.310817117
brca_metabric	MB-2718	5.911987617
brca_metabric	MB-2721	5.110156477
brca_metabric	MB-2724	5.108575023
brca_metabric	MB-2725	5.262504744
brca_metabric	MB-2728	5.411859072
brca_metabric	MB-2730	5.535106252
brca_metabric	MB-2735	5.314779008
brca_metabric	MB-2742	5.349945817
brca_metabric	MB-2744	5.43811746
brca_metabric	MB-2745	5.554731665
brca_metabric	MB-2747	4.923187105
brca_metabric	MB-2749	5.430322163
brca_metabric	MB-2750	5.611606121
brca_metabric	MB-2752	5.390895219
brca_metabric	MB-2753	5.440347761
brca_metabric	MB-2754	5.747006277
brca_metabric	MB-2758	5.37148978
brca_metabric	MB-2760	5.458284866
brca_metabric	MB-2763	5.375228849
brca_metabric	MB-2764	5.69702266
brca_metabric	MB-2765	5.325809617
brca_metabric	MB-2767	5.464917462
brca_metabric	MB-2769	5.502015064
brca_metabric	MB-2770	5.217156054
brca_metabric	MB-2771	5.183485597
brca_metabric	MB-2772	5.368277969
brca_metabric	MB-2774	5.195078016
brca_metabric	MB-2778	5.405411042
brca_metabric	MB-2779	5.346730859
brca_metabric	MB-2781	5.225162514
brca_metabric	MB-2786	5.063968357
brca_metabric	MB-2790	5.216864989
brca_metabric	MB-2791	5.536876964
brca_metabric	MB-2792	5.550317845
brca_metabric	MB-2793	5.322514101
brca_metabric	MB-2795	5.17374551
brca_metabric	MB-2796	5.245978782
brca_metabric	MB-2797	5.395267059
brca_metabric	MB-2801	5.002069686
brca_metabric	MB-2803	5.337660149
brca_metabric	MB-2814	5.274511986
brca_metabric	MB-2815	5.376818383
brca_metabric	MB-2819	5.440492105
brca_metabric	MB-2820	5.385002733
brca_metabric	MB-2821	5.276433554
brca_metabric	MB-2823	5.225025585
brca_metabric	MB-2827	5.627031285
brca_metabric	MB-2833	5.336050358
brca_metabric	MB-2834	5.67503743
brca_metabric	MB-2835	5.438287486
brca_metabric	MB-2838	5.189712842
brca_metabric	MB-2840	5.095462958
brca_metabric	MB-2842	5.476690278
brca_metabric	MB-2843	5.157363562
brca_metabric	MB-2844	5.196213192
brca_metabric	MB-2845	5.096239242
brca_metabric	MB-2846	5.277240127
brca_metabric	MB-2847	5.243808009
brca_metabric	MB-2848	5.214502612
brca_metabric	MB-2849	5.294077312
brca_metabric	MB-2850	5.283102965
brca_metabric	MB-2851	5.220945502
brca_metabric	MB-2853	5.253982012
brca_metabric	MB-2854	5.175785472
brca_metabric	MB-2857	5.422987127
brca_metabric	MB-2858	5.52785401
brca_metabric	MB-2863	5.188365023
brca_metabric	MB-2867	5.597921405
brca_metabric	MB-2895	5.485256686
brca_metabric	MB-2896	5.290659103
brca_metabric	MB-2900	5.567363884
brca_metabric	MB-2901	5.003390443
brca_metabric	MB-2904	5.611809052
brca_metabric	MB-2912	5.437718377
brca_metabric	MB-2916	5.793830683
brca_metabric	MB-2917	5.41052807
brca_metabric	MB-2919	5.282110438
brca_metabric	MB-2922	5.382730007
brca_metabric	MB-2923	5.727182073
brca_metabric	MB-2927	5.270131997
brca_metabric	MB-2929	5.503966696
brca_metabric	MB-2931	5.275391131
brca_metabric	MB-2932	5.143014851
brca_metabric	MB-2933	5.294176303
brca_metabric	MB-2939	5.33025577
brca_metabric	MB-2944	5.296692834
brca_metabric	MB-2947	5.362396269
brca_metabric	MB-2951	5.454781776
brca_metabric	MB-2952	5.264319665
brca_metabric	MB-2953	5.32385172
brca_metabric	MB-2954	5.442341227
brca_metabric	MB-2957	5.709418226
brca_metabric	MB-2960	5.496821699
brca_metabric	MB-2963	4.999032961
brca_metabric	MB-2964	5.53151738
brca_metabric	MB-2966	5.493796686
brca_metabric	MB-2969	5.505195987
brca_metabric	MB-2970	5.370001881
brca_metabric	MB-2971	5.515217663
brca_metabric	MB-2977	5.52082926
brca_metabric	MB-2983	5.296967479
brca_metabric	MB-2984	5.318581857
brca_metabric	MB-2990	4.913817421
brca_metabric	MB-2993	5.220302402
brca_metabric	MB-2994	5.268276674
brca_metabric	MB-2996	4.975706091
brca_metabric	MB-2999	5.194578172
brca_metabric	MB-3001	5.418439595
brca_metabric	MB-3002	5.197515819
brca_metabric	MB-3005	5.467404691
brca_metabric	MB-3006	5.394342841
brca_metabric	MB-3007	5.336024204
brca_metabric	MB-3008	5.438141459
brca_metabric	MB-3013	5.349630981
brca_metabric	MB-3014	6.091089088
brca_metabric	MB-3016	5.291132176
brca_metabric	MB-3021	5.268554674
brca_metabric	MB-3025	5.390623405
brca_metabric	MB-3026	5.209230196
brca_metabric	MB-3028	5.339521724
brca_metabric	MB-3031	5.575522395
brca_metabric	MB-3032	5.331049432
brca_metabric	MB-3033	5.300492455
brca_metabric	MB-3035	5.18199081
brca_metabric	MB-3037	5.3900273
brca_metabric	MB-3046	5.204858404
brca_metabric	MB-3049	5.314030737
brca_metabric	MB-3050	5.269501808
brca_metabric	MB-3057	5.486519564
brca_metabric	MB-3058	5.621039691
brca_metabric	MB-3060	5.276019865
brca_metabric	MB-3062	5.519224913
brca_metabric	MB-3063	5.499094307
brca_metabric	MB-3064	5.356456364
brca_metabric	MB-3067	5.659600322
brca_metabric	MB-3079	5.107641432
brca_metabric	MB-3083	5.656397111
brca_metabric	MB-3085	5.309145456
brca_metabric	MB-3088	5.155963392
brca_metabric	MB-3092	5.566713046
brca_metabric	MB-3102	5.408856441
brca_metabric	MB-3103	5.064326481
brca_metabric	MB-3104	5.409931874
brca_metabric	MB-3105	5.543405471
brca_metabric	MB-3110	5.313129533
brca_metabric	MB-3121	5.621790401
brca_metabric	MB-3122	5.534418476
brca_metabric	MB-3123	5.524084073
brca_metabric	MB-3153	5.694964099
brca_metabric	MB-3165	5.373694851
brca_metabric	MB-3167	5.119447621
brca_metabric	MB-3171	5.261272341
brca_metabric	MB-3181	5.109959493
brca_metabric	MB-3211	5.378470435
brca_metabric	MB-3218	5.908111671
brca_metabric	MB-3222	5.532165839
brca_metabric	MB-3228	5.240303283
brca_metabric	MB-3235	5.39219913
brca_metabric	MB-3252	5.285556382
brca_metabric	MB-3253	5.278861243
brca_metabric	MB-3254	5.276308916
brca_metabric	MB-3266	5.529374481
brca_metabric	MB-3271	5.448773199
brca_metabric	MB-3272	5.204912822
brca_metabric	MB-3275	5.184570251
brca_metabric	MB-3277	5.335918267
brca_metabric	MB-3292	5.334673066
brca_metabric	MB-3295	5.399631764
brca_metabric	MB-3297	5.296607335
brca_metabric	MB-3298	5.420362843
