STUDY_ID	SAMPLE_ID	RASGRF1
brca_metabric	MB-2954	0.3043
brca_metabric	MB-2957	1.7108
brca_metabric	MB-2960	0.5959
brca_metabric	MB-2963	-2.1644
brca_metabric	MB-2964	0.7803
brca_metabric	MB-2966	0.5798
brca_metabric	MB-2969	0.6405
brca_metabric	MB-2970	-0.0867
brca_metabric	MB-2971	0.6938
brca_metabric	MB-2977	0.7236
brca_metabric	MB-2983	-0.486
brca_metabric	MB-2984	-0.3674
brca_metabric	MB-2990	-2.6598
brca_metabric	MB-2993	-0.9102
brca_metabric	MB-2994	-0.6441
brca_metabric	MB-2996	-2.2993
brca_metabric	MB-2999	-1.0537
brca_metabric	MB-3001	0.1756
brca_metabric	MB-3002	-1.0373
brca_metabric	MB-3005	0.4387
brca_metabric	MB-3006	0.0453
brca_metabric	MB-3007	-0.2719
brca_metabric	MB-3008	0.2817
brca_metabric	MB-3013	-0.1976
brca_metabric	MB-3014	3.6266
brca_metabric	MB-3016	-0.5181
brca_metabric	MB-3021	-0.6426
brca_metabric	MB-3025	0.0252
brca_metabric	MB-3026	-0.9719
brca_metabric	MB-3028	-0.2528
brca_metabric	MB-3031	1.0128
brca_metabric	MB-3032	-0.2991
brca_metabric	MB-3033	-0.4666
brca_metabric	MB-3035	-1.1241
brca_metabric	MB-3037	0.022
brca_metabric	MB-3046	-0.9963
brca_metabric	MB-3049	-0.3923
brca_metabric	MB-3050	-0.6374
brca_metabric	MB-3057	0.5409
brca_metabric	MB-3058	1.2517
brca_metabric	MB-3060	-0.6014
brca_metabric	MB-3062	0.7151
brca_metabric	MB-3063	0.608
brca_metabric	MB-3064	-0.1604
brca_metabric	MB-3067	1.4528
brca_metabric	MB-3079	-1.5431
brca_metabric	MB-3083	1.4361
brca_metabric	MB-3085	-0.4191
brca_metabric	MB-3088	-1.2702
brca_metabric	MB-3092	0.9664
brca_metabric	MB-3102	0.1238
brca_metabric	MB-3103	-1.7895
brca_metabric	MB-3104	0.1297
